Time,Body Part,Quaternion (x),Quaternion (y),Quaternion (z),Quaternion (w),Angles (x),Angles (y),Angles (z)
0,,,,,,,,
,RightShoulder,-0.1863546,0.1823701,0.5197911,0.8135294,-50.41509,-22.57372,-59.57516
,LeftShoulder,-0.138348,-0.1569306,-0.827235,0.5214546,-44.1968,-23.81038,-60.27536
,Trunk,0.1840735,-0.2009596,0.9214984,0.2767184,19.49846,22.23351,34.72632
,UpperTrunk,0.1819798,-0.1591246,0.9261253,0.2895762,8.551887,7.660187,21.72211
,LowerTrunk,0.1254725,-0.0940247,0.9812787,0.1118392,15.81013,13.26813,12.62704
,Hips,-0.04242679,0.01137937,-0.00328812,0.9990293,-4.863556,1.30519,0.3771667
,Head,-0.1628243,-0.2584239,0.2989147,-0.9040771,-0.9205914,9.670902,71.31714
0.03320313,,,,,,,,
,RightShoulder,-0.1887697,0.1796373,0.5173932,0.8151078,-50.59778,-22.76004,-59.89536
,LeftShoulder,-0.1358326,-0.1584762,-0.8287328,0.5192654,-44.32037,-23.89975,-60.56546
,Trunk,0.1808066,-0.2016858,0.9220473,0.2765153,19.68842,21.97692,34.70584
,UpperTrunk,0.179861,-0.160736,0.9263008,0.2894493,8.880652,7.471075,21.58215
,LowerTrunk,0.1248939,-0.09283166,0.9813466,0.1128834,15.53244,13.09618,12.71808
,Hips,-0.04121547,0.01229089,-0.003536344,0.9990684,-4.72467,1.409674,0.4056091
,Head,-0.1636127,-0.2552557,0.2995211,-0.9046339,-0.8150463,9.537458,71.34488
0.06640625,,,,,,,,
,RightShoulder,-0.1878871,0.181381,0.5168482,0.8152714,-50.90257,-22.57272,-59.99545
,LeftShoulder,-0.1375703,-0.1573355,-0.8290406,0.5186633,-44.60157,-23.69384,-60.67944
,Trunk,0.1807417,-0.2032841,0.9216101,0.2768445,19.91599,22.01531,34.74088
,UpperTrunk,0.1801012,-0.1625578,0.92588,0.2896286,9.107705,7.602621,21.57291
,LowerTrunk,0.1240904,-0.09284145,0.9814025,0.1132743,15.4956,12.97772,12.78152
,Hips,-0.04088966,0.01251166,-0.003369153,0.9990796,-4.687317,1.434976,0.3864441
,Head,-0.1652412,-0.2528413,0.300625,-0.9046498,-0.7868023,9.215063,71.50531
0.1000977,,,,,,,,
,RightShoulder,-0.1876551,0.1838213,0.5141367,0.8164917,-51.50488,-22.68787,-60.63208
,LeftShoulder,-0.1397293,-0.1568056,-0.8304931,0.5159157,-45.14962,-23.81134,-61.32977
,Trunk,0.18298,-0.206319,0.9198431,0.2789973,20.30877,22.36002,35.02789
