Time,Body Part,Quaternion (x),Quaternion (y),Quaternion (z),Quaternion (w),Angles (x),Angles (y),Angles (z)
0,,,,,,,,
,RightShoulder,-0.07434521,0.06777968,0.6807082,0.7256137,-25.42601,-8.087845,-12.85574
,LeftShoulder,-0.1855971,0.05725414,-0.6729174,0.7137632,-24.46031,12.31402,-5.824266
,Trunk,0.07072467,-0.1669615,0.9800385,0.08152497,13.88441,7.553024,9.197968
,UpperTrunk,0.06517747,-0.1202284,0.9874151,0.07942793,12.36892,2.61741,1.951324
,LowerTrunk,0.0429684,-0.01318615,0.9969926,0.06313279,6.941883,5.222235,7.824323
,Hips,-0.04733573,-0.002498372,0.00503552,0.9988632,-5.426392,-0.2866211,-0.5776799
,Head,-0.3177247,-0.0104824,0.07525602,-0.9451336,-23.2777,-6.28215,18.30307
0.03369141,,,,,,,,
,RightShoulder,-0.0738962,0.07035553,0.6712882,0.7341399,-25.63587,-7.750126,-15.16843
,LeftShoulder,-0.1865532,0.05902648,-0.6815931,0.7050848,-24.42429,12.62417,-8.106804
,Trunk,0.07104543,-0.1675653,0.97943,0.08712792,13.91535,7.461644,10.04721
,UpperTrunk,0.06434847,-0.1204274,0.986829,0.08674616,12.3595,2.57549,2.123291
,LowerTrunk,0.04252123,-0.01353222,0.9966165,0.06902525,7.054321,5.235122,8.296241
,Hips,-0.04796445,-0.003041826,0.003245354,0.9988391,-5.498474,-0.3489685,-0.3723211
,Head,-0.3170202,-0.007789627,0.08250493,-0.9447912,-23.18252,-6.51688,20.02872
0.06689453,,,,,,,,
,RightShoulder,-0.07416075,0.07125878,0.6727455,0.7326908,-25.7795,-7.631706,-15.14252
,LeftShoulder,-0.1878306,0.0577096,-0.6796553,0.7067234,-24.68862,12.6916,-8.021557
,Trunk,0.07172161,-0.168134,0.9792851,0.08710714,13.96484,7.395287,10.25787
,UpperTrunk,0.0637634,-0.1208387,0.9866556,0.08855909,12.33299,2.55693,1.763611
,LowerTrunk,0.04209014,-0.01418839,0.9962697,0.07398552,7.174816,5.292459,8.640448
,Hips,-0.04835211,-0.003958112,0.001274198,0.9988217,-5.542969,-0.4541016,-0.1461845
,Head,-0.3167173,-0.006156608,0.08416456,-0.9447585,-23.1012,-6.64855,20.43948
0.1000977,,,,,,,,
,RightShoulder,-0.07397982,0.07312091,0.6746685,0.7307549,-25.86005,-7.570155,-14.57639
,LeftShoulder,-0.1899595,0.05704057,-0.6774564,0.7083179,-24.86744,12.71219,-7.454956
,Trunk,0.07310959,-0.1677798,0.9795211,0.08392457,13.90967,7.5003,10.00577
,UpperTrunk,0.06468378,-0.1203797,0.9868443,0.08638781,12.25729,2.594765,1.357697
,LowerTrunk,0.04266979,-0.01436516,0.9961424,0.0753206,7.217511,5.410021,8.677161
,Hips,-0.04854537,-0.004397344,0.0002535582,0.9988112,-5.565125,-0.5044861,-0.02909021
,Head,-0.3161619,-0.006999895,0.08192345,-0.9451354,-23.08204,-6.651624,19.9137
0.1333008,,,,,,,,
,RightShoulder,-0.07473685,0.07403895,0.6658181,0.7386603,-26.08487,-7.293053,-16.65665
,LeftShoulder,-0.1895323,0.05654354,-0.6857202,0.7004774,-24.95142,12.89608,-9.49958
,Trunk,0.07234801,-0.1682384,0.9791163,0.08827806,13.99133,7.236351,10.71872
,UpperTrunk,0.06237041,-0.1210336,0.9863563,0.09253228,12.28627,2.384324,1.477295
,LowerTrunk,0.04218731,-0.01481744,0.9957529,0.0804787,7.279441,5.472725,9.036102
,Hips,-0.04862563,-0.005410155,-0.001789749,0.9988009,-5.574371,-0.620697,0.2053223
,Head,-0.3160742,-0.002701476,0.08753079,-0.9446842,-23.00728,-6.908659,21.30609
0.1665039,,,,,,,,
,RightShoulder,-0.07403965,0.07635923,0.6715674,0.7332699,-26.19513,-7.18961,-15.43872
,LeftShoulder,-0.1927753,0.05587868,-0.6795411,0.7056478,-25.26205,12.97442,-8.250218
