Sensor string: A
Serial number: 1970-01-0000
Firmware version: 2,015
Hardware version: 2,2
Calibration quality: 5
ax	ay	az	gx	gy	gz	mx	my	mz

-0.02745	0.660874	0.69723	-47.67	-5.04	2.03	-0.0846	-0.1471	-0.4906	
-0.017446	0.625006	0.72224	-48.3	-8.75	2.94	-0.0808	-0.1385	-0.4996	
-0.004392	0.586942	0.725046	-47.32	-10.22	1.82	-0.0949	-0.1183	-0.4872	
-0.002928	0.574254	0.719678	-49	-9.03	1.4	-0.0981	-0.1183	-0.5012	
0.00183	0.5612	0.721874	-52.15	-8.12	1.89	-0.094	-0.1125	-0.4979	
0.008905999	0.545706	0.7442	-54.18	-7.7	2.45	-0.0991	-0.1005	-0.5009	
0.01403	0.534726	0.754936	-53.9	-5.74	1.05	-0.1028	-0.0884	-0.5039	
0.019398	0.516426	0.764086	-55.93	-3.01	-0.14	-0.1077	-0.0808	-0.5085	
0.02013	0.500078	0.793366	-54.11	-1.33	-1.82	-0.1066	-0.0719	-0.5052	
0.01769	0.483608	0.822768	-57.05	-0.21	-0.98	-0.1087	-0.0661	-0.5175	
0.014152	0.453962	0.84241	-61.46	-3.85	-1.19	-0.1102	-0.0614	-0.5082	
0.0061	0.424316	0.833992	-63.63	-3.43	-0.84	-0.0991	-0.0456	-0.5015	
-0.004758	0.396622	0.83631	-60.13	-1.26	-2.17	-0.1125	-0.0402	-0.4924	
-0.012932	0.380518	0.85461	-58.73	-1.4	-1.68	-0.1047	-0.0276	-0.509	
-0.00305	0.364414	0.873032	-59.22	-5.18	-1.89	-0.1078	-0.0229	-0.5059	
0.016836	0.34221	0.896212	-57.54	-7.07	-2.38	-0.1055	-0.0112	-0.5057	
0.028182	0.31415	0.885842	-59.36	-5.88	-1.26	-0.107	-0.007999999	-0.501	
0.030012	0.288042	0.905972	-57.82	-6.37	-0.7	-0.1162	-0.0001	-0.498	
0.032696	0.2745	0.92842	-56.42	-3.92	-2.38	-0.1141	0.0145	-0.5008	
0.032818	0.259616	0.924882	-57.26	-3.64	-3.08	-0.1129	0.0204	-0.496	
0.023424	0.23729	0.926468	-56.98	-3.57	-2.8	-0.1243	0.0357	-0.5068	
0.031476	0.218502	0.934764	-56.91	-6.93	-2.03	-0.1196	0.0341	-0.499	
0.035746	0.192394	0.944768	-54.04	-6.16	-3.29	-0.1213	0.0402	-0.4974	
0.02135	0.165066	0.95221	-52.85	-2.45	-2.73	-0.1222	0.0519	-0.5065	
0.028914	0.140544	0.96563	-51.24	-7.91	-4.76	-0.1223	0.058	-0.4987	
0.04514	0.127368	0.97844	-52.22	-9.52	-3.99	-0.1245	0.0746	-0.4892	
0.045628	0.10187	0.977464	-52.43	-8.75	-5.18	-0.1156	0.07099999	-0.4967	
0.040138	0.047702	1.01138	-45.78	-4.55	-4.2	-0.1298	0.0896	-0.4937	
0.03233	0.039406	1.025288	-40.53	-0.98	-5.81	-0.1343	0.0975	-0.4797	
0.043676	0.023302	1.021872	-47.67	-6.44	-4.76	-0.1305	0.103	-0.4934	
0.06222	0.006954	1.052006	-42.35	-11.06	-5.81	-0.1262	0.1105	-0.4793	
0.06649	-0.00244	1.056886	-37.8	-5.81	-5.32	-0.1351	0.1124	-0.4795	
0.07686	-0.023546	1.07421	-36.75	-5.95	-5.11	-0.1355	0.1137	-0.4918	
0.089792	-0.047092	1.073966	-33.67	-8.26	-4.97	-0.1406	0.1321	-0.4762	
0.08052	-0.058682	1.079334	-31.99	-4.97	-3.08	-0.1272	0.1329	-0.4697	
0.070028	-0.070516	1.080676	-27.16	-4.41	-2.87	-0.1333	0.1362	-0.4729	
0.070272	-0.09821	1.080676	-22.89	-3.5	-2.94	-0.1482	0.14	-0.4685	
0.08174	-0.100162	1.07665	-19.18	-3.43	-2.59	-0.1348	0.1409	-0.4605	
0.078568	-0.094062	1.078968	-12.74	-2.45	-2.66	-0.1415	0.1484	-0.4775	
0.08686399	-0.102846	1.07909	-9.8	-3.22	-2.31	-0.1485	0.1444	-0.4715	
0.100772	-0.112118	1.08336	-6.86	-2.38	-1.82	-0.1462	0.1561	-0.4744	
0.103334	-0.111264	1.09617	-2.73	-1.4	-0.98	-0.1431	0.153	-0.4759	
0.111508	-0.10858	1.093486	1.68	-0.42	-0.56	-0.1343	0.154	-0.4741	
0.106262	-0.112118	1.096048	4.97	0.35	-0.07	-0.1398	0.15	-0.4666	
0.103944	-0.112972	1.106296	10.78	0.56	0.42	-0.1439	0.1428	-0.4668	
0.112728	-0.115656	1.11142	15.05	1.33	0.14	-0.1397	0.1454	-0.4713	
0.114314	-0.116022	1.11386	19.32	1.68	-0.07	-0.1479	0.1371	-0.4624	
0.10248	-0.108458	1.108126	23.59	2.94	0.14	-0.1396	0.1424	-0.4745	
0.096014	-0.093208	1.10105	28.77	3.5	0	-0.1331	0.1317	-0.4714	
0.09747799	-0.076128	1.090924	33.95	3.64	-0.56	-0.1423	0.1381	-0.473	
0.106506	-0.06344	1.087996	37.24	3.78	-1.47	-0.1388	0.126	-0.4763	
0.102236	-0.057096	1.080554	40.67	4.41	-2.1	-0.14	0.1216	-0.4764	
0.07991	-0.030134	1.064206	42.63	6.16	-2.31	-0.1384	0.1201	-0.4764	
