Time,Body Part,Quaternion (x),Quaternion (y),Quaternion (z),Quaternion (w),Angles (x),Angles (y),Angles (z)
0,,,,,,,,
,RightShoulder,0.04028942,-0.03924391,0.6832976,0.7279702,11.07457,14.1933,10.09211
,LeftShoulder,-0.1089638,0.08754724,-0.6631824,0.7352902,2.868439,30.10591,19.62139
,Trunk,-0.07774008,0.03640368,0.9899037,-0.1127919,-4.623474,-14.10849,-13.71821
,UpperTrunk,-0.1218469,0.03974995,0.9846544,-0.1184432,-3.874634,-17.00595,-12.71474
,LowerTrunk,0.02528092,0.006532465,0.9996206,-0.008753806,-0.867215,7.968934,-0.1395194
,Hips,0.001031972,-0.04424123,0.007531911,0.9989918,0.1183746,-5.071472,-0.863948
,Head,-0.04221249,-0.01674055,-0.005645037,0.9989525,0.2159119,12.18832,-13.07065
0.0333252,,,,,,,,
,RightShoulder,0.04063218,-0.03908929,0.6829798,0.7282578,11.08465,14.2242,10.00511
,LeftShoulder,-0.1091367,0.08778103,-0.6636602,0.7348052,2.868134,30.12918,19.50492
,Trunk,-0.07779657,0.03593864,0.9899638,-0.1123735,-4.618195,-14.099,-13.6804
,UpperTrunk,-0.1217701,0.03970654,0.9847047,-0.1181197,-3.853119,-17.01593,-12.68503
,LowerTrunk,0.02545074,0.006674141,0.9996161,-0.008683115,-0.8310725,7.978881,-0.1274282
,Hips,0.0005753525,-0.0441583,0.00756675,0.9989958,0.06599682,-5.061951,-0.8679407
,Head,-0.04229569,-0.01680577,-0.005552828,0.9989485,0.2307434,12.17136,-13.04344
0.06658936,,,,,,,,
,RightShoulder,0.04085556,-0.03996154,0.6831989,0.7279923,11.07021,14.23227,10.02327
,LeftShoulder,-0.1082746,0.08799188,-0.6635146,0.7350389,2.852814,30.13662,19.51454
,Trunk,-0.07830554,0.0352553,0.9899809,-0.1120858,-4.514862,-14.15976,-13.65938
,UpperTrunk,-0.1222994,0.03881669,0.9846965,-0.1179354,-3.82608,-17.06503,-12.66684
,LowerTrunk,0.02534919,0.006008669,0.9996231,-0.008658439,-0.7760771,7.96741,-0.1144258
,Hips,0.0007610302,-0.0441598,0.007655382,0.9989948,0.08729538,-5.062134,-0.8781076
,Head,-0.04234297,-0.01670424,-0.005355954,0.9989492,0.3394775,12.24377,-13.045
0.09985352,,,,,,,,
,RightShoulder,0.04025107,-0.03869771,0.6831782,0.7281138,10.96598,14.2761,10.01446
,LeftShoulder,-0.1096535,0.08736198,-0.6637025,0.7347398,2.735565,30.18835,19.47765
,Trunk,-0.07821613,0.03576283,0.9899818,-0.1119789,-4.562317,-14.15005,-13.66183
,UpperTrunk,-0.1222135,0.03922483,0.9846885,-0.1179559,-3.874603,-17.05316,-12.67872
,LowerTrunk,0.02533024,0.005999175,0.9996243,-0.008576244,-0.7843739,7.963496,-0.08698094
