Time,Body Part,Quaternion (x),Quaternion (y),Quaternion (z),Quaternion (w),Angles (x),Angles (y),Angles (z)
0,,,,,,,,
,RightShoulder,0.006137689,0.02059245,0.6940008,0.7196535,-6.063065,-2.599226,-4.184387
,LeftShoulder,-0.4913453,0.2102144,-0.301698,0.7895367,-33.78777,60.70603,46.06428
,Trunk,0.01490138,-0.02561458,0.9993595,0.02006038,4.891403,4.765736,2.105194
,UpperTrunk,0.0415321,-0.04262858,0.9980589,0.01833782,1.807651,13.72606,1.891113
,LowerTrunk,-0.07808559,-0.02682536,0.9965839,0.001861781,1.06656,-11.9689,0.4575896
,Hips,0.01759631,0.02624761,0.002123952,0.9994983,2.017193,3.008574,-0.2435088
,Head,-0.09504348,-0.03697909,0.02477098,-0.9944777,-6.027094,-0.5066757,4.958923
0.03320313,,,,,,,,
,RightShoulder,0.006148326,0.02120977,0.6943765,0.7192729,-6.065053,-2.559131,-4.076965
,LeftShoulder,-0.4922999,0.2098916,-0.300774,0.7893803,-33.89388,60.79383,46.21993
,Trunk,0.01507273,-0.02514201,0.9993694,0.02003514,4.844228,4.776531,2.059052
,UpperTrunk,0.04162716,-0.04221783,0.9980797,0.01793599,1.761602,13.69758,1.874176
,LowerTrunk,-0.07774414,-0.0268163,0.9966113,0.001607746,1.058003,-11.91984,0.4694676
,Hips,0.01766114,0.02616223,0.002482295,0.9994986,2.024623,2.99879,-0.2845921
,Head,-0.09461629,-0.03733047,0.02461419,-0.994509,-6.025146,-0.4771748,4.894623
0.06665039,,,,,,,,
,RightShoulder,0.006151388,0.02072805,0.6934033,0.7202252,-6.007708,-2.560942,-4.32605
,LeftShoulder,-0.491803,0.2102725,-0.3018648,0.7891722,-33.76686,60.77994,45.97863
,Trunk,0.01475913,-0.0249854,0.9993626,0.02079258,4.826159,4.73959,2.152069
,UpperTrunk,0.04130506,-0.04206039,0.9980848,0.0187465,1.766245,13.63818,1.90863
,LowerTrunk,-0.07754925,-0.02661914,0.9966308,0.002117336,1.03334,-11.89503,0.5219694
,Hips,0.01767818,0.02614171,0.002429426,0.999499,2.026574,2.996438,-0.2785307
,Head,-0.09407243,-0.0371132,0.02549976,-0.9945465,-5.980707,-0.4653926,5.089508
0.09985352,,,,,,,,
,RightShoulder,0.006956189,0.02036311,0.6940294,0.719625,-5.975362,-2.501141,-4.185333
,LeftShoulder,-0.4914556,0.2099759,-0.3006748,0.7899215,-33.83556,60.77734,46.20694
,Trunk,0.01458593,-0.02509441,0.9993673,0.02055588,4.888631,4.715389,2.110748
,UpperTrunk,0.04109361,-0.04260518,0.9980773,0.01838654,1.776005,13.59332,1.852722
,LowerTrunk,-0.07736856,-0.02707797,0.9966323,0.002244055,1.036707,-11.86907,0.5505198
,Hips,0.01810859,0.02609533,0.002551198,0.9994922,2.075919,2.991145,-0.2924937
,Head,-0.0942798,-0.03679823,0.02526432,-0.9945445,-5.941936,-0.4774256,5.021088
0.1330566,,,,,,,,
,RightShoulder,0.006085061,0.02203425,0.6930659,0.7205117,-6.050532,-2.46377,-4.386078
,LeftShoulder,-0.4929443,0.2101435,-0.3012756,0.7887194,-33.85006,60.90161,46.02195
,Trunk,0.01487112,-0.02416244,0.9993767,0.02100495,4.757685,4.742969,2.161469
,UpperTrunk,0.04133547,-0.04146387,0.998107,0.01882884,1.738189,13.56472,1.872162
,LowerTrunk,-0.07688142,-0.02626896,0.9966909,0.002516359,0.966397,-11.80777,0.579397
,Hips,0.01790957,0.02605074,0.002530247,0.9994969,2.053099,2.986022,-0.2900903
,Head,-0.09263905,-0.03677157,0.02582517,-0.9946852,-5.883992,-0.5086713,5.135956
0.1665039,,,,,,,,
