Time,Body Part,Quaternion (x),Quaternion (y),Quaternion (z),Quaternion (w),Angles (x),Angles (y),Angles (z)
0,,,,,,,,
,RightShoulder,0.03233501,-0.006375196,0.6904665,0.722613,1.645479,-1.386527,-3.674042
,LeftShoulder,-0.6091861,0.3213814,-0.1346121,0.7123803,-39.0301,91.8903,67.5256
,Trunk,0.01063676,0.002198206,0.9998525,0.01330459,1.4929,3.491434,1.067627
,UpperTrunk,0.03045989,-0.01302103,0.9994076,0.009311646,-0.8923364,11.83528,1.628464
,LowerTrunk,-0.07273288,-0.02075823,0.9971234,-0.00488019,0.6060934,-10.59385,-0.1274379
,Hips,0.01552222,0.01963122,0.003780931,0.9996796,1.779143,2.250004,-0.4333996
,Head,-0.04165452,0.004782887,0.006383747,0.9991001,6.26768,-2.942866,0.3354545
0.03320313,,,,,,,,
,RightShoulder,0.03173114,-0.005890288,0.6898262,0.7232553,1.568197,-1.353592,-3.852417
,LeftShoulder,-0.6094975,0.3213987,-0.1354002,0.7119566,-39.03978,91.9285,67.31626
,Trunk,0.01028257,0.002721056,0.9998458,0.01397498,1.48195,3.448853,1.142059
,UpperTrunk,0.03008836,-0.0129256,0.999414,0.00996092,-0.9579301,11.74728,1.670548
,LowerTrunk,-0.07233705,-0.02123436,0.9971435,-0.004598796,0.6104274,-10.54481,-0.09373748
,Hips,0.01596113,0.01959944,0.003792703,0.9996732,1.829453,2.246377,-0.4347517
,Head,-0.04139909,0.004252201,0.0060004,0.9991156,6.227434,-2.961157,0.4538638
0.06640625,,,,,,,,
,RightShoulder,0.03114005,-0.005308995,0.6904715,0.7226695,1.580278,-1.310847,-3.728149
,LeftShoulder,-0.6103595,0.3207403,-0.1350378,0.711584,-39.1472,92.03413,67.38593
,Trunk,0.009909056,0.003661658,0.9998494,0.01377528,1.374737,3.405227,1.117706
,UpperTrunk,0.02970829,-0.01199069,0.9994392,0.009748757,-1.014804,11.6999,1.649467
,LowerTrunk,-0.07230499,-0.02079636,0.997155,-0.004627317,0.5600882,-10.54105,-0.09700882
,Hips,0.01596113,0.01959944,0.003792703,0.9996732,1.829453,2.246377,-0.4347517
,Head,-0.04124916,0.00404189,0.005727738,0.9991243,6.103008,-2.941657,0.4607878
0.09960938,,,,,,,,
,RightShoulder,0.03199496,-0.005215727,0.6899043,0.7231745,1.683836,-1.228311,-3.844971
,LeftShoulder,-0.6097236,0.3216369,-0.1347097,0.7117866,-38.92489,92.06412,67.41312
,Trunk,0.009927779,0.003569555,0.9998506,0.01370046,1.333033,3.399645,1.147491
,UpperTrunk,0.02965966,-0.01162695,0.9994425,0.01000845,-0.9720087,11.6538,1.647251
,LowerTrunk,-0.07195365,-0.0200616,0.9971967,-0.004349023,0.5284787,-10.49346,-0.1026301
,Hips,0.01549976,0.01953796,0.00346452,0.999683,1.776563,2.239311,-0.397129
,Head,-0.04081564,0.003740577,0.005595803,0.9991441,6.011561,-2.970642,0.505717
0.1328125,,,,,,,,
,RightShoulder,0.03290512,-0.006261507,0.690578,0.7224817,1.740649,-1.197117,-3.643158
,LeftShoulder,-0.6091158,0.3210468,-0.1336612,0.7127703,-39.02717,92.03719,67.69592
,Trunk,0.009578981,0.00248679,0.9998667,0.01298863,1.43476,3.357487,1.056396
,UpperTrunk,0.02929187,-0.01251441,0.99945,0.009213865,-0.9043336,11.59931,1.600152
,LowerTrunk,-0.07184581,-0.02035805,0.9971967,-0.004731894,0.5865328,-10.48007,-0.133834
,Hips,0.01529037,0.01952879,0.00357613,0.9996859,1.752561,2.238253,-0.4099213
,Head,-0.0404084,0.003540589,0.005549818,0.9991616,6.066596,-2.951427,0.419907
0.1660156,,,,,,,,
,RightShoulder,0.03219876,-0.005139486,0.6895947,0.723461,1.67328,-1.117471,-3.847656
,LeftShoulder,-0.6099997,0.3216547,-0.1348081,0.7115233,-38.98398,92.18132,67.43571
,Trunk,0.009236291,0.002914252,0.9998599,0.01365391,1.353975,3.311543,1.101837
,UpperTrunk,0.02889128,-0.0118099,0.9994665,0.009610504,-0.9568752,11.54668,1.643916
,LowerTrunk,-0.07178795,-0.02011235,0.997206,-0.00471735,0.5885179,-10.46626,-0.1014352
,Hips,0.01502666,0.01946661,0.003844172,0.9996902,1.722332,2.231118,-0.4406439
,Head,-0.04001901,0.003299983,0.005486697,0.9991785,5.941133,-2.933083,0.4725974
0.199707,,,,,,,,
,RightShoulder,0.03356883,-0.005967651,0.6889981,0.7239608,1.783898,-1.032449,-4.041504
,LeftShoulder,-0.6090785,0.3222647,-0.1347164,0.7120536,-38.84786,92.17365,67.36077
,Trunk,0.008942753,0.002635245,0.9998552,0.01424224,1.421711,3.270599,1.206635
,UpperTrunk,0.02853371,-0.01240071,0.9994606,0.01052466,-0.9527876,11.50293,1.654362
,LowerTrunk,-0.07176307,-0.02066635,0.9972,-0.003896236,0.6156801,-10.45437,-0.04363123
,Hips,0.01534501,0.0193873,0.003525317,0.9996881,1.758819,2.222036,-0.4040959
,Head,-0.03986951,0.003157623,0.005496204,0.999185,5.991718,-2.908468,0.5763086
0.2329102,,,,,,,,
,RightShoulder,0.03282281,-0.004628982,0.6903091,0.7227548,1.730416,-0.9784703,-3.722534
,LeftShoulder,-0.610864,0.3211373,-0.1336235,0.7112386,-39.1646,92.34869,67.6216
,Trunk,0.008947947,0.003858631,0.9998631,0.01337594,1.306024,3.264501,1.091858
,UpperTrunk,0.02848115,-0.01139182,0.999484,0.00952363,-1.045681,11.48621,1.573029
,LowerTrunk,-0.07167082,-0.0204681,0.9972095,-0.004187316,0.5702318,-10.43888,-0.06451279
,Hips,0.01554265,0.0193448,0.0036349,0.9996854,1.781473,2.217172,-0.4166581
,Head,-0.03984376,0.003112152,0.005387127,0.9991864,5.873071,-2.907585,0.4740418
0.2661133,,,,,,,,
