Time,Body Part,Quaternion (x),Quaternion (y),Quaternion (z),Quaternion (w),Angles (x),Angles (y),Angles (z)
0,,,,,,,,
,RightShoulder,0.004858864,0.01324515,0.6908404,0.7228695,-1.05473,-1.80287,-6.90564
,LeftShoulder,-0.08400344,0.08187116,-0.6857306,0.7183411,-0.5491146,10.20493,-1.648917
,Trunk,0.04883343,-0.001477486,0.9985552,0.02237529,0.3749814,3.270258,4.309875
,UpperTrunk,0.02851419,-0.00326868,0.998881,0.03758627,-1.997281,-6.623359,2.517609
,LowerTrunk,0.08620206,-0.02062084,0.9959424,0.01557836,2.304555,12.22293,0.03866577
,Hips,0.0005906736,-0.0203234,-0.01529923,0.9996762,0.06770813,-2.329315,1.753601
,Head,-0.05166941,-0.009649206,-0.07182848,0.996031,6.314129,-4.380335,12.55933
0.03320313,,,,,,,,
,RightShoulder,-0.002801855,0.01429367,0.6755847,0.7371382,-1.697506,-2.160332,-10.56076
,LeftShoulder,-0.08182827,0.08033431,-0.7024311,0.7024534,-0.4327658,10.07628,-5.569261
,Trunk,0.04719655,-0.00113407,0.9983349,0.03314569,0.3109093,3.092481,5.571075
,UpperTrunk,0.02695175,-0.002709,0.9984517,0.0485799,-2.062549,-6.588593,3.405762
,LowerTrunk,0.08434992,-0.02063335,0.9960446,0.01882336,2.35366,12.00215,0.3884888
,Hips,0.00017271,-0.02025131,-0.01550192,0.9996746,0.01979756,-2.321075,1.776825
,Head,-0.05160175,-0.01042708,-0.08084086,0.9953356,6.246426,-4.29289,14.85779
0.06665039,,,,,,,,
,RightShoulder,-0.005031965,0.01597179,0.6711398,0.7411417,-2.134607,-2.166547,-12.401
,LeftShoulder,-0.08106612,0.08392297,-0.707922,0.6965858,-0.1974087,10.34558,-7.650604
,Trunk,0.04692053,-0.002274111,0.9979954,0.04240906,0.4305358,3.054212,6.725739
,UpperTrunk,0.02660382,-0.003749327,0.9979175,0.05863816,-2.008186,-6.402727,4.068878
,LowerTrunk,0.08239318,-0.0212022,0.9961065,0.02309945,2.455995,11.78339,0.7867737
,Hips,-0.0001506563,-0.02029799,-0.01631537,0.9996608,-0.01727295,-2.326447,1.870087
,Head,-0.05158514,-0.01194251,-0.09468803,0.9940978,6.371515,-4.430768,17.60779
0.09985352,,,,,,,,
,RightShoulder,-0.01013992,0.01846793,0.6650363,0.7465139,-2.792064,-2.292921,-14.51105
,LeftShoulder,-0.08115932,0.08530448,-0.7152533,0.6888753,-0.1315977,10.55302,-10.05634
,Trunk,0.0462349,-0.002712802,0.9975951,0.05156638,0.4699819,2.969045,7.9039
,UpperTrunk,0.02584513,-0.004090235,0.9972806,0.06889614,-2.014066,-6.223147,4.71347
,LowerTrunk,0.08008148,-0.02159772,0.9961681,0.0277423,2.538796,11.52468,1.193359
,Hips,-0.000477694,-0.02035022,-0.0174233,0.999641,-0.05474854,-2.332489,1.99707
,Head,-0.05147007,-0.01278987,-0.1038741,0.9931756,6.40324,-4.444631,19.84537
0.1333008,,,,,,,,
,RightShoulder,-0.01406213,0.02164697,0.6571603,0.7533088,-3.408552,-2.37506,-17.05566
,LeftShoulder,-0.08174293,0.08853389,-0.7239611,0.679235,0.04667568,10.84658,-12.90753
,Trunk,0.04642101,-0.003070364,0.9969972,0.06190635,0.5080702,2.991351,9.256287
