Time,Body Part,Quaternion (x),Quaternion (y),Quaternion (z),Quaternion (w),Angles (x),Angles (y),Angles (z)
0,,,,,,,,
,RightShoulder,-0.05926524,-0.05316063,0.6737552,0.7346532,-1.246096,-8.343506,-5.12558
,LeftShoulder,-0.00964444,0.01843797,-0.7168928,0.6968728,-0.03651434,3.060255,-1.796478
,Trunk,-0.009798904,0.006096565,0.9999322,0.001545276,0.74927,-0.7843628,0.1738892
,UpperTrunk,-0.006844739,-0.006538405,0.9999539,0.001517504,-4.013078,1.579376,-0.03445435
,LowerTrunk,-0.02060817,-0.04153846,0.9989226,0.001816124,3.314033,-2.700072,0.2236547
,Hips,0.01263854,0.002934823,0.0001336038,0.9999158,1.448315,0.3363333,-0.01531116
,Head,0.03501777,0.01281066,-0.007140249,-0.999279,4.763278,-0.6846008,-0.6448995
0.03320313,,,,,,,,
,RightShoulder,-0.06029285,-0.05208373,0.6740811,0.7343479,-1.260356,-8.347656,-5.056702
,LeftShoulder,-0.01086744,0.01711934,-0.7166279,0.697161,-0.08555216,3.044201,-1.7341
,Trunk,-0.009698036,0.00754647,0.9999238,0.001234341,0.5922952,-0.7760925,0.1563416
,UpperTrunk,-0.006772593,-0.005168605,0.9999628,0.001364231,-4.112119,1.582184,-0.06063843
,LowerTrunk,-0.02056097,-0.04103348,0.9989445,0.001891613,3.246848,-2.691642,0.2137012
,Hips,0.01271927,0.002908925,-2.861023E-05,0.9999149,1.457567,0.3333657,0.00327877
,Head,0.03613417,0.01295262,-0.007363468,-0.9992359,4.734324,-0.7092285,-0.6880798
0.06640625,,,,,,,,
,RightShoulder,-0.05897821,-0.05319097,0.6744084,0.7340747,-1.117374,-8.352386,-4.945313
,LeftShoulder,-0.01001985,0.0181632,-0.7163269,0.6974565,0.01365238,3.03826,-1.623322
,Trunk,-0.00969064,0.007126589,0.9999273,0.0008506844,0.6463966,-0.7542419,0.09390259
,UpperTrunk,-0.006581869,-0.005640721,0.9999621,0.0008193254,-4.059619,1.574371,-0.05065918
,LowerTrunk,-0.02030244,-0.0410477,0.99895,0.001260251,3.242753,-2.683676,0.1597978
,Hips,0.01276897,0.003098244,0.0001329482,0.9999136,1.463263,0.3550622,-0.01523605
,Head,0.03530263,0.01296585,-0.007977754,-0.9992608,4.693089,-0.7325439,-0.8209375
0.09960938,,,,,,,,
,RightShoulder,-0.05992133,-0.05312081,0.6734318,0.7348995,-1.190632,-8.386047,-5.186005
,LeftShoulder,-0.0101588,0.01738122,-0.7172992,0.6964744,-0.0517233,3.024079,-1.87558
,Trunk,-0.01012772,0.007102686,0.9999221,0.001700348,0.6371341,-0.7921448,0.1877747
,UpperTrunk,-0.0069125,-0.005559876,0.9999593,0.001638621,-4.046431,1.555573,0.01812744
,LowerTrunk,-0.02046926,-0.04085183,0.9989544,0.001478791,3.232024,-2.713782,0.1888075
,Hips,0.01266668,0.003194257,0.000167191,0.9999146,1.451541,0.3660649,-0.01916032
,Head,0.03510231,0.01351756,-0.007287234,-0.9992657,4.660877,-0.7579041,-0.6478796
0.1333008,,,,,,,,
,RightShoulder,-0.05981281,-0.05252353,0.6747184,0.7337704,-1.211748,-8.354462,-4.916962
,LeftShoulder,-0.01080858,0.01779886,-0.7162435,0.6975398,-0.05198675,3.084059,-1.631378
,Trunk,-0.009979999,0.006815059,0.9999263,0.001122029,0.6185777,-0.7656555,0.1154785
,UpperTrunk,-0.006681542,-0.005397958,0.9999627,0.001007646,-3.985955,1.576385,-0.03213501
,LowerTrunk,-0.0204202,-0.0401629,0.9989837,0.001286894,3.204763,-2.718578,0.1721256
,Hips,0.01221492,0.003285654,0.0002138913,0.99992,1.39977,0.376537,-0.0245121
,Head,0.03497631,0.01358276,-0.008078367,-0.9992633,4.627885,-0.7918701,-0.8108963
0.1665039,,,,,,,,
,RightShoulder,-0.05936105,-0.05374135,0.6743729,0.7340364,-1.197257,-8.357269,-4.948456
,LeftShoulder,-0.009569786,0.01818397,-0.7164512,0.6973345,-0.04168153,3.074518,-1.646362
,Trunk,-0.01037344,0.005619468,0.99993,0.0009558324,0.7398901,-0.8252869,0.09701538
,UpperTrunk,-0.007201815,-0.006456543,0.9999529,0.0008466244,-3.909417,1.542725,-0.01852417
,LowerTrunk,-0.02064631,-0.04055306,0.9989636,0.00100714,3.265321,-2.730229,0.1403692
,Hips,0.01207719,0.00316071,0.0002166629,0.999922,1.383985,0.3622178,-0.02482967
,Head,0.03386763,0.014629,-0.008502036,-0.9992831,4.622123,-0.8521423,-0.8779216
0.199707,,,,,,,,
,RightShoulder,-0.05986341,-0.05243714,0.6741388,0.7343047,-1.314627,-8.292328,-5.029999
,LeftShoulder,-0.01100999,0.01767023,-0.7167108,0.6970596,-0.1704404,3.149516,-1.73056
,Trunk,-0.01033144,0.006006736,0.9999279,0.001212931,0.7102873,-0.8251953,0.1378784
,UpperTrunk,-0.007201045,-0.00619822,0.9999542,0.00120315,-3.968855,1.549988,0.009094238
,LowerTrunk,-0.02070849,-0.04081309,0.9989516,0.001122594,3.280174,-2.732242,0.1422032
,Hips,0.01220793,0.003115692,0.0001170933,0.9999206,1.398968,0.3570592,-0.01341897
,Head,0.03432832,0.01506547,-0.008348793,-0.9992622,4.645376,-0.9023132,-0.8195069
0.2329102,,,,,,,,
,RightShoulder,-0.05970939,-0.05340645,0.6749611,0.7334917,-1.216992,-8.259552,-4.846741
,LeftShoulder,-0.01063513,0.01757994,-0.7159408,0.6978587,-0.1411533,3.210415,-1.552979
,Trunk,-0.01125973,0.00670765,0.9999137,0.0009067219,0.7040524,-0.9238281,0.08746339
,UpperTrunk,-0.008061588,-0.006143775,0.9999484,0.0007632971,-4.043762,1.49411,-0.01541138
,LowerTrunk,-0.02108078,-0.04141142,0.9989195,0.0008968413,3.275054,-2.783238,0.1334425
,Hips,0.01285183,0.003187572,0.0002667308,0.9999124,1.47276,0.3652996,-0.03056777
