Time,Body Part,Quaternion (x),Quaternion (y),Quaternion (z),Quaternion (w),Angles (x),Angles (y),Angles (z)
0,,,,,,,,
,RightShoulder,-0.3081062,0.05467254,0.5387912,0.7821672,-58.29304,-20.05255,-26.29718
,LeftShoulder,-0.1737896,-0.1316991,-0.748122,0.6267104,-52.63395,5.175126,-15.51416
,Trunk,0.004966153,-0.1027842,0.9929119,0.05947054,27.57889,-1.667145,5.420288
,UpperTrunk,-0.01411384,-0.2380794,0.9700571,0.04591888,-6.642416,5.020111,3.742035
,LowerTrunk,-0.05574541,-0.2937317,0.9541587,0.01397517,18.62563,-3.416931,2.773247
,Hips,0.135618,-0.02827023,0.00946334,0.9903126,15.59569,-3.270325,-1.094994
,Head,-0.2201509,-0.007609881,0.05908781,-0.9736449,2.09708,2.562759,12.36603
0.03320313,,,,,,,,
,RightShoulder,-0.3174739,0.04785733,0.5484223,0.7721095,-58.2762,-21.2648,-24.09042
,LeftShoulder,-0.1703618,-0.1435992,-0.7386701,0.6361783,-53.07368,4.044308,-13.3909
,Trunk,0.00447692,-0.1008215,0.993432,0.05392588,27.34678,-1.813232,4.8638
,UpperTrunk,-0.01536137,-0.2361581,0.9707183,0.04122645,-6.858057,4.900787,3.129486
,LowerTrunk,-0.05597041,-0.2935889,0.9541825,0.01444232,18.59694,-3.453552,2.750843
,Hips,0.1357247,-0.02818481,0.008785129,0.9903066,15.6079,-3.260468,-1.016529
,Head,-0.2186219,-0.00655701,0.05532676,-0.974218,2.050638,2.584484,11.36459
0.06640625,,,,,,,,
,RightShoulder,-0.3112329,0.05390343,0.5390979,0.7807702,-58.39481,-20.3161,-26.44669
,LeftShoulder,-0.1732606,-0.1360945,-0.7472985,0.6269002,-52.83954,4.846467,-15.71066
,Trunk,0.004232835,-0.1014615,0.9930489,0.05951081,27.46625,-1.747162,5.696045
,UpperTrunk,-0.01479331,-0.2370971,0.9701734,0.04826453,-6.799065,4.963898,3.446808
,LowerTrunk,-0.05593286,-0.2940722,0.9539614,0.01872697,18.63403,-3.470764,3.094185
