Time,Body Part,Quaternion (x),Quaternion (y),Quaternion (z),Quaternion (w),Angles (x),Angles (y),Angles (z)
0,,,,,,,,
,RightShoulder,-0.05642955,0.08019543,0.8284202,0.5514565,-32.05716,2.616539,34.80442
,LeftShoulder,-0.2206991,-0.1740347,-0.6013905,0.7478859,-53.36197,4.604377,24.49865
,Trunk,0.01193563,-0.1909,0.9814861,-0.009985712,20.74805,-0.6439514,-12.10563
,UpperTrunk,-0.005497843,-0.1790989,0.978331,-0.1037386,10.21133,9.366852,5.489382
,LowerTrunk,-0.08587776,-0.09041412,0.9805215,-0.1517491,11.65192,-5.972992,-7.39201
,Hips,-0.009687303,-0.03508832,0.08886147,0.9953786,-1.115204,-4.037811,-10.203
,Head,-0.1588554,0.03188156,-0.1139537,-0.9801852,2.336649,-3.08194,-25.3682
0.03320313,,,,,,,,
,RightShoulder,-0.05243963,0.07953522,0.8269888,0.5540882,-31.66236,2.593097,34.56407
,LeftShoulder,-0.223063,-0.171865,-0.6024891,0.7468014,-53.37403,4.690938,24.41834
,Trunk,0.01478599,-0.1903046,0.9815884,-0.007056088,20.74522,-0.3460083,-12.20879
,UpperTrunk,-0.002953768,-0.17906,0.9782552,-0.1046212,10.28934,9.735046,5.803914
,LowerTrunk,-0.08643563,-0.08966708,0.9799809,-0.1553251,11.47339,-5.935699,-7.38097
,Hips,-0.008835448,-0.0360103,0.09258261,0.9950144,-1.017517,-4.145355,-10.63173
,Head,-0.1584789,0.03169046,-0.1169628,-0.9798979,2.37142,-3.358643,-25.82228
0.06640625,,,,,,,,
,RightShoulder,-0.05194369,0.07939453,0.8222103,0.5612204,-31.60797,2.560804,32.70686
,LeftShoulder,-0.2239488,-0.1700758,-0.6090473,0.741608,-53.28851,4.855341,22.55043
,Trunk,0.01534222,-0.190363,0.9815938,0.0004048646,20.76153,-0.2880859,-11.33982
,UpperTrunk,-0.002461039,-0.1793353,0.9789718,-0.09719518,10.42683,9.717377,6.237226
,LowerTrunk,-0.0858475,-0.08868741,0.9807019,-0.1516196,11.35222,-5.860107,-6.945314
,Hips,-0.008835448,-0.0360103,0.09258261,0.9950144,-1.017517,-4.145355,-10.63173
,Head,-0.158418,0.0318713,-0.1104347,-0.980659,2.408691,-3.434814,-24.19015
0.09960938,,,,,,,,
,RightShoulder,-0.05541458,0.07439521,0.8354345,0.5417044,-31.47683,1.687463,37.09808
,LeftShoulder,-0.218405,-0.1793149,-0.5905121,0.755937,-53.61983,3.433636,27.02625
,Trunk,0.01730087,-0.1895478,0.9816654,-0.01026527,20.70724,-0.1090393,-13.01764
,UpperTrunk,-0.0009301081,-0.1786014,0.977579,-0.1115335,10.4196,9.92981,5.445834
,LowerTrunk,-0.08603229,-0.08817573,0.9795289,-0.1592059,11.21296,-5.762695,-7.416155
,Hips,-0.008031925,-0.03713356,0.09618726,0.9946379,-0.9253235,-4.276154,-11.04732
,Head,-0.1573311,0.03293649,-0.1281048,-0.9786477,2.441353,-3.746094,-27.93285
0.1333008,,,,,,,,
,RightShoulder,-0.05034271,0.07678359,0.8214952,0.5627747,-31.22849,2.300162,32.86297
,LeftShoulder,-0.2241509,-0.1707163,-0.6091757,0.7412941,-53.33131,4.64311,22.86503
,Trunk,0.01736212,-0.1895781,0.9817114,0.001142137,20.73423,-0.1123657,-11.69006
,UpperTrunk,-0.000959605,-0.179049,0.9787246,-0.1001924,10.55942,9.825684,6.3484
,LowerTrunk,-0.08522776,-0.08726873,0.9802604,-0.1555952,11.10014,-5.661896,-6.99114
,Hips,-0.008031925,-0.03713356,0.09618726,0.9946379,-0.9253235,-4.276154,-11.04732
,Head,-0.1572263,0.03371914,-0.1182021,-0.9798831,2.502935,-3.829346,-25.44663
0.1665039,,,,,,,,
,RightShoulder,-0.05573873,0.07029654,0.8373429,0.5392667,-31.17373,1.370301,37.94527
,LeftShoulder,-0.2161595,-0.1822288,-0.5873753,0.7583256,-53.69379,3.046723,27.98969
,Trunk,0.01765836,-0.1889642,0.9817783,-0.009604413,20.71158,-0.1593628,-13.51004
,UpperTrunk,-0.001358896,-0.178552,0.9770992,-0.1157341,10.55771,10.00455,5.498725
,LowerTrunk,-0.08704314,-0.08695658,0.9787794,-0.1638684,10.9932,-5.700317,-7.425671
,Hips,-0.00728156,-0.03874283,0.1008311,0.9941221,-0.839325,-4.463593,-11.58309
,Head,-0.1570486,0.03603935,-0.1354548,-0.9775935,2.458609,-4.063171,-29.28732
0.199707,,,,,,,,
,RightShoulder,-0.04827942,0.07450598,0.8249611,0.5581729,-30.80309,2.121541,34.26038
,LeftShoulder,-0.2245445,-0.172719,-0.603014,0.7457357,-53.48085,4.34961,24.50614
,Trunk,0.0198944,-0.1883063,0.9819078,0.001411349,20.657,0.05030537,-12.42535
,UpperTrunk,0.0004294291,-0.1782722,0.9782022,-0.1064858,10.64561,10.14619,6.371633
,LowerTrunk,-0.08649728,-0.08576959,0.9792295,-0.162084,10.82252,-5.562408,-7.024233
,Hips,-0.007035706,-0.03934263,0.1024741,0.9939324,-0.8111267,-4.533478,-11.77275
,Head,-0.1558546,0.03516404,-0.1282777,-0.9787835,2.562168,-4.165387,-27.35843
0.2329102,,,,,,,,
,RightShoulder,-0.05243313,0.06830508,0.8355816,0.5425758,-30.64166,1.281928,37.4461
,LeftShoulder,-0.2176409,-0.1809048,-0.5890772,0.7568976,-53.6163,3.088535,27.65494
,Trunk,0.02051481,-0.1875896,0.982026,-0.003776282,20.62811,0.03695011,-13.44055
,UpperTrunk,0.0003151298,-0.1778525,0.9772959,-0.1151565,10.72035,10.26238,5.8625
,LowerTrunk,-0.08754718,-0.0848136,0.9784944,-0.1664052,10.63594,-5.537262,-7.145408
,Hips,-0.006313536,-0.04067012,0.1058068,0.9935346,-0.7281799,-4.688171,-12.15764
,Head,-0.1540404,0.03829492,-0.1404042,-0.977288,2.713547,-4.524926,-29.79171
0.2661133,,,,,,,,
,RightShoulder,-0.04811409,0.06952551,0.830004,0.5513115,-30.37517,1.607186,35.86562
,LeftShoulder,-0.2214186,-0.1760871,-0.5960224,0.7514814,-53.51101,3.684153,26.21406
,Trunk,0.02217349,-0.1873318,0.9820453,0.001515761,20.63951,0.1681852,-13.05202
,UpperTrunk,0.001434892,-0.1780174,0.9776502,-0.1118388,10.84343,10.38822,6.222518
,LowerTrunk,-0.08751184,-0.0838635,0.9786186,-0.1661758,10.47,-5.436432,-6.905725
,Hips,-0.005841713,-0.04148957,0.1076342,0.9933073,-0.6739197,-4.7836,-12.36882
,Head,-0.1539074,0.03780796,-0.1376309,-0.9777222,2.747984,-4.597171,-29.07742
0.2998047,,,,,,,,
,RightShoulder,-0.05169483,0.06523191,0.8368998,0.5409911,-30.23998,1.05545,38.25784
,LeftShoulder,-0.2171069,-0.1830382,-0.5859467,0.7589653,-53.6772,2.831234,28.67838
,Trunk,0.02263907,-0.1858711,0.9823097,-0.002697721,20.53914,0.0695467,-14.01691
,UpperTrunk,0.000592865,-0.1769894,0.9768587,-0.1200895,10.8633,10.55612,5.870263
,LowerTrunk,-0.08971457,-0.08274426,0.9776149,-0.1713876,10.25229,-5.483185,-7.079034
,Hips,-0.004994271,-0.0433765,0.1114331,0.9928122,-0.5764465,-5.003387,-12.80814
,Head,-0.1519376,0.04191644,-0.1483949,-0.9762875,2.84742,-4.986447,-31.30243
0.3330078,,,,,,,,
,RightShoulder,-0.04548687,0.06781857,0.830811,0.5505313,-29.88247,1.489423,36.35516
,LeftShoulder,-0.2221907,-0.1765131,-0.5924433,0.7539796,-53.49426,3.522533,27.09818
