Time,Body Part,Quaternion (x),Quaternion (y),Quaternion (z),Quaternion (w),Angles (x),Angles (y),Angles (z)
0,,,,,,,,
,RightShoulder,0.2310573,0.1867588,0.6913666,0.6585938,-0.121006,53.69659,9.76357
,LeftShoulder,-0.0437106,0.01693748,-0.7037824,0.7088673,-6.051071,24.21834,7.394325
,Trunk,-0.1689957,0.0246398,0.9826146,-0.07281467,3.879531,-19.3017,-6.981888
,UpperTrunk,-0.1672485,-0.0333102,0.9835235,-0.05999884,6.420639,-15.06296,-7.261216
,LowerTrunk,-0.0369723,0.02215839,0.9990677,0.002435267,-9.306484,-4.901587,-0.05459595
,Hips,0.05900352,0.005774312,-0.002908915,0.9982368,6.765377,0.6628487,0.3339233
,Head,-0.09516835,-0.2542459,-0.01159462,0.962376,15.17464,-10.29553,-5.601365
0.03320313,,,,,,,,
,RightShoulder,0.2247194,0.1915376,0.6895455,0.6613179,-0.9834859,53.72295,9.202979
,LeftShoulder,-0.0480621,0.008970438,-0.706714,0.705808,-6.967873,24.09474,6.73507
,Trunk,-0.1702417,0.02668572,0.9823881,-0.07224361,3.79734,-19.47046,-6.808617
,UpperTrunk,-0.168716,-0.03259946,0.9833871,-0.05849817,6.194954,-15.13904,-7.112999
,LowerTrunk,-0.03778136,0.0209065,0.9990637,0.002653807,-9.334509,-4.97261,-0.1001282
,Hips,0.06049754,0.005585114,-0.003523409,0.9981465,6.936895,0.6411886,0.4045105
,Head,-0.09504621,-0.2545097,-0.01179352,0.9623158,15.07874,-10.15793,-5.40432
0.06640625,,,,,,,,
,RightShoulder,0.2288415,0.1925522,0.6905854,0.6585187,-1.286084,54.0074,9.382748
,LeftShoulder,-0.04757293,0.0133238,-0.707086,0.7053996,-7.145348,24.25226,6.522442
,Trunk,-0.1685064,0.023142,0.9828324,-0.07148866,4.367333,-19.31491,-6.659313
,UpperTrunk,-0.1673643,-0.03750218,0.9835185,-0.0572201,6.383568,-15.14407,-6.915356
,LowerTrunk,-0.03638375,0.01758225,0.9991807,0.002232671,-9.11892,-4.772838,-0.1894531
,Hips,0.06194162,0.005243294,-0.003880143,0.9980584,7.102685,0.6020005,0.4454956
,Head,-0.09548498,-0.254962,-0.01255557,0.9621429,15.70251,-10.3689,-5.164013
0.09960938,,,,,,,,
,RightShoulder,0.2224882,0.1963976,0.6894401,0.6607567,-1.967009,53.87746,9.015765
,LeftShoulder,-0.0509513,0.006317444,-0.708424,0.7039174,-7.80094,24.04944,6.215919
,Trunk,-0.1692546,0.02535269,0.9826736,-0.07115318,4.180732,-19.40543,-6.581611
,UpperTrunk,-0.1681575,-0.03589705,0.983482,-0.05654886,6.119818,-15.32312,-6.817786
,LowerTrunk,-0.03561214,0.01691012,0.9992205,0.002059549,-9.117687,-4.67968,-0.2311096
,Hips,0.06260277,0.005202781,-0.004069835,0.9980167,7.178601,0.5973742,0.4672852
,Head,-0.0956623,-0.2548115,-0.0132384,0.9621562,15.53666,-10.26123,-5.005042
0.1328125,,,,,,,,
,RightShoulder,0.2259755,0.1947528,0.6891958,0.6603147,-2.016148,54.20995,8.649637
,LeftShoulder,-0.0478223,0.009456689,-0.7110898,0.7014091,-7.778257,24.22309,5.412018
,Trunk,-0.1709631,0.02215867,0.9826508,-0.06839794,4.666563,-19.57877,-6.197418
,UpperTrunk,-0.1696492,-0.04006347,0.9832501,-0.05322871,6.311765,-15.60379,-6.527313
,LowerTrunk,-0.03467754,0.01434795,0.9992914,0.002876937,-8.945142,-4.585077,-0.1682739
,Hips,0.06365941,0.005313268,-0.004338503,0.9979481,7.299939,0.6101019,0.4981689
,Head,-0.09627539,-0.2538141,-0.01394638,0.9623488,16.09253,-9.971222,-4.536865
0.1660156,,,,,,,,
,RightShoulder,0.2218877,0.2006613,0.6901557,0.6589279,-2.860558,54.48683,8.914071
,LeftShoulder,-0.05174203,0.005361872,-0.7096529,0.7026284,-8.424948,24.33533,5.691936
,Trunk,-0.1720289,0.02273431,0.9823949,-0.06920642,4.663046,-19.70447,-6.261943
,UpperTrunk,-0.1707228,-0.04002454,0.9830363,-0.0537723,6.1975,-15.83942,-6.565868
,LowerTrunk,-0.03371947,0.01338246,0.9993382,0.002650499,-8.900297,-4.483509,-0.2059326
,Hips,0.06423329,0.005385833,-0.004440188,0.9979105,7.365843,0.6184573,0.5098572
,Head,-0.09700289,-0.2526155,-0.01460508,0.9625813,16.17202,-9.705231,-4.523387
0.199707,,,,,,,,
,RightShoulder,0.2238733,0.200795,0.6901863,0.6581831,-3.189197,54.85416,8.824324
,LeftShoulder,-0.05018185,0.007764205,-0.7115344,0.700814,-8.590488,24.58942,5.235073
,Trunk,-0.1738954,0.01945766,0.9821872,-0.06848452,5.149967,-19.89056,-6.104915
,UpperTrunk,-0.1723014,-0.04419223,0.9826564,-0.05240104,6.323001,-16.11237,-6.440334
,LowerTrunk,-0.03296313,0.01023087,0.9993999,0.002925277,-8.651398,-4.432014,-0.2148438
,Hips,0.0652129,0.005693372,-0.004791707,0.9978436,7.478363,0.6538152,0.5502625
,Head,-0.09621309,-0.2520981,-0.01582769,0.9627769,16.56354,-9.455811,-4.221248
0.2329102,,,,,,,,
,RightShoulder,0.2187485,0.2052578,0.6882473,0.6605558,-3.815922,55.17012,8.276203
,LeftShoulder,-0.0547669,0.002237951,-0.7130539,0.6989632,-9.222734,24.89196,4.780326
,Trunk,-0.1773158,0.02167775,0.9815753,-0.0678184,4.961748,-20.26825,-5.923881
,UpperTrunk,-0.175566,-0.04255673,0.9822335,-0.05082244,6.038225,-16.25015,-6.414084
,LowerTrunk,-0.03505535,0.009387963,0.9993321,0.004274994,-8.640687,-4.686726,-0.1271362
,Hips,0.06596019,0.005822066,-0.005375564,0.9977908,7.56421,0.6686292,0.6173401
,Head,-0.09462707,-0.2515354,-0.016987,0.9630613,16.18511,-9.007141,-3.902854
0.2661133,,,,,,,,
,RightShoulder,0.2207278,0.2071197,0.6901664,0.6573058,-4.010599,55.53698,8.784544
,LeftShoulder,-0.05648159,0.006143829,-0.7113535,0.7005342,-9.251257,25.38524,5.112373
,Trunk,-0.1770612,0.02041991,0.9815558,-0.06914355,5.167486,-20.30576,-5.990547
,UpperTrunk,-0.175869,-0.04431641,0.9820721,-0.05138698,6.097021,-16.10184,-6.526069
,LowerTrunk,-0.03667629,0.008106166,0.9992834,0.004670054,-8.56889,-4.821251,-0.1566467
,Hips,0.0666144,0.005375158,-0.006026834,0.9977461,7.639355,0.6173331,0.6921692
,Head,-0.09358166,-0.25177,-0.01802152,0.9630834,16.26737,-8.995117,-3.846534
0.2993164,,,,,,,,
,RightShoulder,0.2206263,0.2103626,0.6887073,0.6578402,-4.191208,55.63266,8.637458
,LeftShoulder,-0.06026981,0.005456427,-0.7120295,0.6995367,-9.511833,25.46793,4.996896
,Trunk,-0.1754567,0.02143036,0.9817864,-0.06965044,5.064324,-20.13608,-6.011117
,UpperTrunk,-0.1744196,-0.04344323,0.9823595,-0.05157885,5.997063,-15.91977,-6.54368
,LowerTrunk,-0.03678421,0.008133876,0.9992793,0.004644185,-8.593748,-4.819269,-0.2050171
,Hips,0.06680281,0.005249931,-0.006422013,0.9977317,7.661009,0.6029599,0.7375793
,Head,-0.09344429,-0.251711,-0.01857749,0.9631017,16.14779,-9.157684,-3.801004
0.3330078,,,,,,,,
,RightShoulder,0.2216106,0.2086632,0.6885838,0.6581798,-4.082742,55.69623,8.414984
,LeftShoulder,-0.05814167,0.005483024,-0.713708,0.6980042,-9.456446,25.42127,4.553698
,Trunk,-0.1766617,0.02040316,0.9816521,-0.06880045,5.184046,-20.26019,-5.828417
,UpperTrunk,-0.1754895,-0.04446463,0.9822047,-0.05000055,6.061151,-16.00998,-6.475054
,LowerTrunk,-0.03707981,0.007648624,0.9992671,0.005639017,-8.552696,-4.862106,-0.1639099
,Hips,0.06692946,0.005327638,-0.00705725,0.9977185,7.675591,0.6118926,0.8105469
,Head,-0.09459962,-0.2510296,-0.018484,0.9631684,16.40292,-8.95575,-3.629595
0.3662109,,,,,,,,
,RightShoulder,0.2215579,0.2112827,0.6900756,0.6557952,-4.421524,55.89443,8.881636
,LeftShoulder,-0.05965245,0.005359903,-0.7120044,0.699616,-9.701144,25.51201,4.957826
,Trunk,-0.1763952,0.01954234,0.9816106,-0.0703101,5.296023,-20.23819,-5.963533
,UpperTrunk,-0.1752831,-0.04542335,0.9821381,-0.05115828,6.09711,-16.03995,-6.579286
,LowerTrunk,-0.03662704,0.006985819,0.9992901,0.005369693,-8.494152,-4.815947,-0.2340088
,Hips,0.06708143,0.005378172,-0.007398814,0.9977055,7.693066,0.6177045,0.849762
,Head,-0.09512293,-0.2506985,-0.01817304,0.963209,16.57608,-8.939667,-3.801759
0.3994141,,,,,,,,
,RightShoulder,0.2231138,0.2120611,0.6886503,0.6565144,-4.442557,56.1408,8.576586
,LeftShoulder,-0.05989228,0.005036226,-0.714188,0.6973689,-9.834755,25.5542,4.474095
,Trunk,-0.1769981,0.01909154,0.981542,-0.06987625,5.383766,-20.28693,-5.839512
,UpperTrunk,-0.1757043,-0.04617442,0.9820831,-0.05008969,6.096687,-16.14697,-6.514653
,LowerTrunk,-0.03611864,0.006217202,0.9993109,0.005887747,-8.452191,-4.777233,-0.2359009
,Hips,0.06748337,0.005548429,-0.007931918,0.9976734,7.73927,0.6372793,0.9110413
,Head,-0.09511463,-0.2499874,-0.01782352,0.9634012,16.66062,-8.806122,-3.719731
0.4326172,,,,,,,,
,RightShoulder,0.2240478,0.2149326,0.6878129,0.6561402,-4.454203,56.57513,8.484529
,LeftShoulder,-0.06116692,0.003024461,-0.7148852,0.6965548,-9.948823,25.60554,4.296264
,Trunk,-0.1781047,0.02055036,0.9813257,-0.06968743,5.23108,-20.39755,-5.784484
,UpperTrunk,-0.1766672,-0.04485904,0.9819954,-0.04961243,6.003816,-16.22363,-6.526427
,LowerTrunk,-0.03641471,0.006738679,0.9992931,0.006470144,-8.53426,-4.825808,-0.1914673
,Hips,0.06767698,0.005675536,-0.008126646,0.997658,7.761524,0.6518882,0.9334106
,Head,-0.09561796,-0.2487833,-0.0176031,0.963667,16.56412,-8.553619,-3.691497
0.4658203,,,,,,,,
,RightShoulder,0.2269832,0.2156763,0.6885396,0.654122,-4.402125,56.84679,8.732427
,LeftShoulder,-0.06071642,0.00554687,-0.7146671,0.6968022,-9.843437,25.72897,4.345268
,Trunk,-0.1778192,0.01953144,0.9813846,-0.06988017,5.366754,-20.35324,-5.795647
,UpperTrunk,-0.1762773,-0.04602471,0.9820065,-0.0497089,6.103814,-16.22714,-6.533195
,LowerTrunk,-0.03599761,0.006427701,0.9993104,0.006431878,-8.515831,-4.793548,-0.2056885
,Hips,0.06782703,0.005810952,-0.008212239,0.9976463,7.778771,0.6674495,0.9432373
,Head,-0.09596833,-0.2476916,-0.0178389,0.9639089,16.73821,-8.469269,-3.675163
0.4995117,,,,,,,,
,RightShoulder,0.2303814,0.2181724,0.6872012,0.6535134,-4.633945,57.18658,8.461891
,LeftShoulder,-0.06083402,0.007349007,-0.7172247,0.6941427,-10.01749,25.72152,3.709184
,Trunk,-0.1768571,0.01726614,0.9816961,-0.06852857,5.677071,-20.18988,-5.583177
,UpperTrunk,-0.1748703,-0.04870075,0.9822193,-0.047894,6.214272,-16.31577,-6.331773
,LowerTrunk,-0.03380045,0.004685109,0.9993963,0.006528914,-8.368244,-4.587116,-0.2461548
,Hips,0.06828168,0.006207313,-0.008660287,0.9976092,7.831043,0.7130012,0.994751
,Head,-0.0953897,-0.2457705,-0.01833805,0.9644488,16.97413,-8.402924,-3.404588
0.5327148,,,,,,,,
,RightShoulder,0.2237597,0.219286,0.6881795,0.6544114,-5.039376,56.99768,8.58055
,LeftShoulder,-0.06133169,0.0006501675,-0.7163072,0.6950843,-10.34459,25.50176,3.976021
,Trunk,-0.1792349,0.019439,0.9811451,-0.06965236,5.420882,-20.47263,-5.699074
,UpperTrunk,-0.1773037,-0.04648183,0.9818425,-0.04887107,6.008467,-16.54956,-6.397652
,LowerTrunk,-0.03422745,0.005124527,0.9993824,0.006092638,-8.418629,-4.636066,-0.2961731
,Hips,0.06828168,0.006207313,-0.008660287,0.9976092,7.831043,0.7130012,0.994751
,Head,-0.09513441,-0.2447009,-0.01889578,0.9647352,16.68455,-7.992706,-3.454903
0.565918,,,,,,,,
,RightShoulder,0.2310864,0.221738,0.6860633,0.6532599,-4.821014,57.62601,8.225606
,LeftShoulder,-0.06199788,0.006940957,-0.7187572,0.6924567,-10.08886,25.85876,3.284082
,Trunk,-0.1777652,0.01755655,0.98163,-0.06703622,5.620505,-20.26529,-5.419549
,UpperTrunk,-0.1755326,-0.04821342,0.9821928,-0.04648697,6.110312,-16.46149,-6.166406
,LowerTrunk,-0.03318737,0.004271864,0.9994189,0.006513864,-8.297099,-4.532023,-0.2360229
