Time,Body Part,Quaternion (x),Quaternion (y),Quaternion (z),Quaternion (w),Angles (x),Angles (y),Angles (z)
0,,,,,,,,
,RightShoulder,-0.07432366,0.05253444,0.7074007,0.7009283,-18.35788,3.353302,1.904086
,LeftShoulder,-0.08099546,-0.004654504,-0.6867701,0.7223329,-15.02036,11.3282,4.268662
,Trunk,-0.02549202,-0.05700605,0.9977955,-0.02246293,8.063601,-5.126099,-1.37738
,UpperTrunk,-0.04460507,-0.0702351,0.9964607,-0.01197794,4.044815,-0.538147,-4.197113
,LowerTrunk,-0.03999022,-0.0350247,0.9982837,0.02456957,2.417228,-2.500793,1.53775
,Hips,0.01397259,-0.01821007,-0.01118422,0.999674,1.601559,-2.087158,1.281982
,Head,-0.08592085,-0.02435284,0.009505749,-0.995959,-1.797736,7.927493,-0.2837213
0.0333252,,,,,,,,
,RightShoulder,-0.07371429,0.05255933,0.7075729,0.7008168,-18.32816,3.381622,1.921863
,LeftShoulder,-0.08088686,-0.004033148,-0.6866649,0.7224487,-14.97904,11.34638,4.281331
,Trunk,-0.02533837,-0.05710802,0.9977984,-0.02225216,8.081486,-5.102753,-1.372108
,UpperTrunk,-0.04440156,-0.07039128,0.9964591,-0.01193208,4.066462,-0.4997559,-4.18763
,LowerTrunk,-0.04012123,-0.03499176,0.9982804,0.02453268,2.408472,-2.520386,1.552399
,Hips,0.01401619,-0.01817021,-0.01101968,0.9996759,1.606552,-2.082611,1.263123
,Head,-0.08597533,-0.02476591,0.009662181,-0.9959424,-1.786237,7.951693,-0.2604139
0.06658936,,,,,,,,
,RightShoulder,-0.07413788,0.05274229,0.707271,0.7010633,-18.34823,3.383331,1.845899
,LeftShoulder,-0.08101991,-0.004566483,-0.6869668,0.7221438,-15.00378,11.3353,4.200655
,Trunk,-0.02554581,-0.05683456,0.9978142,-0.02200071,8.05221,-5.124115,-1.340739
,UpperTrunk,-0.04458843,-0.07013637,0.9964721,-0.01165941,4.052351,-0.5016785,-4.172679
,LowerTrunk,-0.04029054,-0.03485928,0.9982748,0.02467582,2.391479,-2.541595,1.567444
,Hips,0.01403213,-0.01815489,-0.01103166,0.9996758,1.60838,-2.080841,1.264496
,Head,-0.08605159,-0.02484509,0.01014233,-0.9959291,-1.824353,7.982197,-0.1738082
0.09985352,,,,,,,,
,RightShoulder,-0.07356036,0.05209689,0.7074026,0.7010397,-18.29239,3.404144,1.853658
,LeftShoulder,-0.08067115,-0.004189476,-0.6869513,0.7221997,-14.9884,11.3636,4.201545
,Trunk,-0.02571335,-0.05706194,0.9978014,-0.02180122,8.095857,-5.150299,-1.335908
,UpperTrunk,-0.0448148,-0.07051522,0.9964358,-0.01161698,4.070972,-0.490387,-4.177644
,LowerTrunk,-0.04061665,-0.03507676,0.9982519,0.02476051,2.399564,-2.571594,1.595062
,Hips,0.01417993,-0.01822013,-0.01087609,0.9996743,1.625321,-2.088318,1.246674
,Head,-0.08656602,-0.02465105,0.01004371,-0.9958905,-1.83984,7.986178,-0.1802688
0.1331787,,,,,,,,
,RightShoulder,-0.07443678,0.052886,0.7071518,0.7011411,-18.31879,3.443817,1.778686
,LeftShoulder,-0.08138099,-0.005215988,-0.6873099,0.7217724,-15.02029,11.38519,4.091446
,Trunk,-0.02616673,-0.05654447,0.9978241,-0.02156494,7.986724,-5.197266,-1.289536
,UpperTrunk,-0.04522648,-0.06956526,0.9964886,-0.01121429,4.032805,-0.4785461,-4.180619
,LowerTrunk,-0.04112957,-0.03445745,0.9982417,0.02519047,2.377897,-2.634186,1.626068
,Hips,0.01374983,-0.01818716,-0.01103628,0.9996791,1.576021,-2.084534,1.265015
,Head,-0.08562469,-0.02427218,0.01037821,-0.9959778,-1.840606,7.989333,-0.09553611
0.1665039,,,,,,,,
,RightShoulder,-0.07273841,0.05168435,0.7079375,0.7006158,-18.19342,3.49588,1.948784
,LeftShoulder,-0.08005035,-0.003721152,-0.6865435,0.7226592,-14.90137,11.40933,4.289102
,Trunk,-0.02623137,-0.05751863,0.9977546,-0.02212273,8.097324,-5.208618,-1.353077
,UpperTrunk,-0.04532181,-0.07052624,0.9964103,-0.01176599,4.108799,-0.4215698,-4.240925
,LowerTrunk,-0.04172426,-0.03475809,0.9982073,0.02516139,2.412515,-2.701111,1.620026
,Hips,0.01374973,-0.01819936,-0.01106063,0.9996786,1.57601,-2.085938,1.267822
,Head,-0.08628477,-0.02424831,0.009636343,-0.9959289,-1.805872,7.998077,-0.2443433
0.1997681,,,,,,,,
,RightShoulder,-0.07376394,0.05336536,0.7073096,0.7010165,-18.30454,3.532562,1.854148
,LeftShoulder,-0.08113249,-0.004738774,-0.6869283,0.7221665,-14.96308,11.39864,4.206961
,Trunk,-0.02613357,-0.05635805,0.9978235,-0.02211333,7.98835,-5.19223,-1.342042
,UpperTrunk,-0.04518243,-0.06957915,0.9964843,-0.01167089,4.038888,-0.3612061,-4.232454
,LowerTrunk,-0.04210769,-0.03441722,0.9982024,0.02518371,2.349127,-2.74942,1.615997
,Hips,0.01396194,-0.01816151,-0.01111811,0.9996758,1.600335,-2.081604,1.274414
,Head,-0.0852264,-0.0243414,0.009730548,-0.9960167,-1.79311,7.992146,-0.222566
0.2330322,,,,,,,,
,RightShoulder,-0.07289365,0.052754,0.7075116,0.70095,-18.19751,3.511383,1.880092
,LeftShoulder,-0.08068625,-0.003882609,-0.6868252,0.7223199,-14.87085,11.38927,4.231852
,Trunk,-0.02583286,-0.05643,0.9978265,-0.02215126,8.001891,-5.149841,-1.346184
,UpperTrunk,-0.04481331,-0.06969805,0.9964923,-0.01170701,4.079209,-0.3190613,-4.232384
,LowerTrunk,-0.04210606,-0.03418398,0.9982114,0.02514705,2.317442,-2.757324,1.611542
,Hips,0.01400474,-0.0180904,-0.01112026,0.9996764,1.60524,-2.073456,1.274658
,Head,-0.08513229,-0.02472363,0.009422868,-0.9960184,-1.768802,7.993702,-0.2621083
0.2663574,,,,,,,,
,RightShoulder,-0.07350082,0.0522809,0.7074854,0.7009486,-18.18413,3.449615,1.871634
,LeftShoulder,-0.08060499,-0.004384011,-0.6870341,0.7221274,-14.88039,11.36811,4.192743
,Trunk,-0.02609949,-0.0564347,0.9978222,-0.02201925,7.977493,-5.175995,-1.339732
,UpperTrunk,-0.04504144,-0.06948522,0.9964976,-0.01165095,4.090791,-0.3135071,-4.230357
,LowerTrunk,-0.04238272,-0.03387013,0.9982095,0.02518556,2.306705,-2.792206,1.624634
,Hips,0.01378454,-0.01806277,-0.01104489,0.9996808,1.579997,-2.070282,1.265991
,Head,-0.08476815,-0.02445173,0.009248048,-0.9960578,-1.751226,7.988481,-0.2758282
0.3162842,,,,,,,,
,RightShoulder,-0.0729944,0.05227979,0.7073547,0.7011333,-18.1547,3.479736,1.816175
,LeftShoulder,-0.08067515,-0.004014336,-0.6871327,0.7220277,-14.86804,11.39273,4.146857
,Trunk,-0.02599434,-0.05670839,0.997811,-0.02194785,7.989412,-5.164948,-1.309955
,UpperTrunk,-0.04494528,-0.06958937,0.9964977,-0.01139197,4.099431,-0.2759399,-4.241199
,LowerTrunk,-0.0426133,-0.03389806,0.9981897,0.02553931,2.32912,-2.818787,1.642456
,Hips,0.01361758,-0.01806229,-0.01124373,0.9996809,1.560861,-2.070221,1.288788
,Head,-0.08486308,-0.02442891,0.009352714,-0.9960493,-1.750233,7.974834,-0.2339962
0.3496094,,,,,,,,
