Time,Body Part,Quaternion (x),Quaternion (y),Quaternion (z),Quaternion (w),Angles (x),Angles (y),Angles (z)
0,,,,,,,,
,RightShoulder,-0.02059851,-0.02393155,0.6675094,0.7439315,3.917404,-6.549388,-11.01843
,LeftShoulder,-0.4261747,0.3508503,-0.4739776,0.6860206,-3.785645,64.69649,15.89557
,Trunk,0.004649727,0.04399359,0.9981288,0.04221064,-3.646881,2.935283,4.819946
,UpperTrunk,0.02557681,0.03178121,0.9982837,0.04201469,-2.121368,1.442432,1.595062
,LowerTrunk,0.0130209,0.01330587,0.9994307,0.02813378,-3.024794,-0.842925,3.136017
,Hips,0.0130806,0.02038033,-0.0007753372,0.9997064,1.499281,2.335776,0.08886719
,Head,-0.07946117,-0.005581856,-0.04153281,0.9959567,5.476349,-3.577495,9.595825
0.0333252,,,,,,,,
,RightShoulder,-0.02178979,-0.02324408,0.6675761,0.7438595,3.774151,-6.568191,-11.02051
,LeftShoulder,-0.4268301,0.3498042,-0.4744924,0.6857913,-3.941864,64.67889,15.80618
,Trunk,0.004405767,0.04423073,0.998118,0.04224636,-3.656158,2.913222,4.833221
,UpperTrunk,0.02538443,0.03186193,0.9982812,0.04213026,-2.162231,1.414418,1.610901
,LowerTrunk,0.01307288,0.01303026,0.9994343,0.02811149,-3.011427,-0.8416466,3.123779
,Hips,0.01323953,0.02042106,-0.0008596182,0.9997034,1.5175,2.34045,0.09854126
,Head,-0.07889786,-0.005918365,-0.04150477,0.9960006,5.402252,-3.59413,9.605652
0.06652832,,,,,,,,
,RightShoulder,-0.02097345,-0.02340884,0.667821,0.7436579,3.728127,-6.518097,-10.97165
,LeftShoulder,-0.4265474,0.3499473,-0.4737504,0.686407,-4.026489,64.67226,15.95065
,Trunk,0.004332942,0.04342814,0.9981535,0.0422479,-3.530487,2.916076,4.820709
,UpperTrunk,0.02541029,0.03076736,0.9983194,0.04202265,-2.135071,1.398589,1.61969
,LowerTrunk,0.01323605,0.0121713,0.9994482,0.02792606,-2.946909,-0.8334632,3.116394
,Hips,0.01353606,0.02051259,-0.0007383823,0.9996977,1.551492,2.350951,0.08462524
,Head,-0.07870874,-0.006257597,-0.04153943,0.9960122,5.506195,-3.636017,9.597076
0.09985352,,,,,,,,
,RightShoulder,-0.02265883,-0.02235179,0.6677186,0.7437331,3.548889,-6.493356,-11.01569
,LeftShoulder,-0.4275555,0.3487647,-0.4746242,0.6857778,-4.196838,64.72497,15.77318
,Trunk,0.003695889,0.04369516,0.9981261,0.04267644,-3.573883,2.84031,4.85025
,UpperTrunk,0.02474964,0.03114548,0.9983134,0.04228026,-2.184845,1.34782,1.641571
,LowerTrunk,0.013018,0.01211557,0.99945,0.02799299,-2.928868,-0.8564807,3.144165
,Hips,0.01343432,0.02049534,-0.0005629361,0.9996995,1.539829,2.34897,0.06451416
,Head,-0.07869567,-0.006741956,-0.04163271,0.9960061,5.461365,-3.615975,9.63736
0.1331787,,,,,,,,
,RightShoulder,-0.02185176,-0.02237783,0.6675123,0.7439414,3.565795,-6.377296,-11.11002
,LeftShoulder,-0.4274409,0.349362,-0.4742539,0.6858014,-4.179901,64.82642,15.75608
,Trunk,0.003410366,0.04314169,0.9981411,0.04291385,-3.523163,2.787605,4.911041
,UpperTrunk,0.02429026,0.03070324,0.9983158,0.04281101,-2.152405,1.329338,1.637543
,LowerTrunk,0.01271934,0.01195602,0.9994397,0.0285584,-2.897392,-0.8695856,3.178009
,Hips,0.01331925,0.02031114,-0.0008331239,0.9997046,1.526634,2.327853,0.0954895
,Head,-0.07883549,-0.007202819,-0.04168922,0.9959896,5.528229,-3.61631,9.704712
0.1665039,,,,,,,,
,RightShoulder,-0.02148605,-0.02138733,0.6685547,0.7430447,3.522339,-6.31993,-10.85526
,LeftShoulder,-0.4286785,0.3492495,-0.4730506,0.6859172,-4.312714,64.89982,15.99839
,Trunk,0.003883712,0.0432236,0.9981715,0.04207441,-3.530426,2.840621,4.813873
,UpperTrunk,0.02475297,0.03076729,0.9983384,0.04196393,-2.172516,1.361651,1.571777
,LowerTrunk,0.01290001,0.01184394,0.9994464,0.02828455,-2.884544,-0.8488835,3.146606
,Hips,0.01331925,0.02031114,-0.0008331239,0.9997046,1.526634,2.327853,0.0954895
,Head,-0.0789733,-0.007431198,-0.04181799,0.9959714,5.536896,-3.695601,9.622406
0.199707,,,,,,,,
,RightShoulder,-0.02228155,-0.02223621,0.6671901,0.7442222,3.512018,-6.329383,-11.1759
,LeftShoulder,-0.4277366,0.3488282,-0.474779,0.6855255,-4.267151,64.8702,15.6583
,Trunk,0.002929749,0.04275565,0.9981677,0.0427173,-3.515778,2.716223,4.927917
